Stock,Buy date,Buy price,Entry rank,Risk-adj score,6m return % at entry,Volatility %/yr at entry,5y return %,WHY PICKED,Initial SL,SL path,Peak price,Final SL,Sell date,Sell price,Exit trigger,WHY EXITED,Return %
IFBIND,2021-01-13,1368.3,9,72.53,232.0,51.0,201.0,"Rank #9 of 507 by 6m-return/volatility | 6m +232%, vol ~51%/yr, 5y +201%",1122.0,-18% ->BE@+15%,1616.7,1368.3,2021-02-17,1368.3,STOP_LOSS,"Stop-loss hit at 1368; had peaked +18%, SL trailed to 1368",-0.6
TATAELXSI,2021-01-13,2371.9,20,54.24,159.0,47.0,112.0,"Rank #20 of 507 by 6m-return/volatility | 6m +159%, vol ~47%/yr, 5y +112% (not over-extended)",1944.9,-18% ->BE@+15%,3050.0,2371.9,2021-03-18,2674.7,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 2675,12.2
KELLTONTEC,2021-01-13,16.2,6,97.03,337.0,55.0,n/a,"Rank #6 of 507 by 6m-return/volatility | 6m +337%, vol ~55%/yr",13.3,-18%,18.3,13.3,2021-02-01,13.3,STOP_LOSS,"Stop-loss hit at 13; had peaked +13%, SL trailed to 13",-18.6
PRINCEPIPE,2021-01-13,292.0,10,71.92,184.0,41.0,n/a,"Rank #10 of 507 by 6m-return/volatility | 6m +184%, vol ~41%/yr",239.4,-18% ->BE@+15% ->20%-trail,480.0,384.0,2021-03-18,405.4,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 405,38.2
GRASIM,2021-01-13,1033.3,21,54.12,77.0,23.0,36.0,"Rank #21 of 507 by 6m-return/volatility | 6m +77%, vol ~23%/yr, 5y +36% (not over-extended)",847.3,-18% ->BE@+15% ->20%-trail,1472.7,1178.2,2021-04-23,1278.1,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1278,23.1
KAJARIACER,2021-01-13,751.3,19,55.36,92.0,26.0,60.0,"Rank #19 of 507 by 6m-return/volatility | 6m +92%, vol ~26%/yr, 5y +60% (not over-extended)",616.1,-18% ->BE@+15% ->20%-trail,1020.0,816.0,2021-04-23,875.5,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 875,15.9
TANLA,2021-01-13,742.8,1,357.94,1214.0,54.0,6443.0,"Rank #1 of 507 by 6m-return/volatility | 6m +1214%, vol ~54%/yr, 5y +6443%",609.1,-18%,805.0,609.1,2021-02-15,737.5,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 737,-1.3
DIXON,2021-02-15,3925.1,20,50.68,138.0,43.0,n/a,"Rank #20 of 476 by 6m-return/volatility | 6m +138%, vol ~43%/yr",3218.6,-18% ->BE@+15%,4541.1,3925.1,2021-03-18,4240.3,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 4240,7.4
LAXMIMACH,2021-02-15,6194.4,25,45.55,104.0,36.0,80.0,"Rank #25 of 476 by 6m-return/volatility | 6m +104%, vol ~36%/yr, 5y +80% (not over-extended)",5079.4,-18% ->BE@+15%,7860.0,6194.4,2021-03-18,7056.5,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 7057,13.3
TATAMTRDVR,2021-02-15,133.5,15,54.41,206.0,60.0,-44.0,"Rank #15 of 476 by 6m-return/volatility | 6m +206%, vol ~60%/yr, 5y -44% (not over-extended)",109.5,-18%,145.0,109.5,2021-03-18,128.4,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 128,-4.4
